,,,,,,,,,
Date,Who Paid,Items,Company,Description,Link,Invoice,Price,Added to splitwise,Category
,Marcel,Playmat,PixartPrinting,Playmat and game elements,https://www.pixartprinting.com/payment-result/,2025-01-26_PixartPrinting_0017256400227,294.61,x,Playmat
,Marcel,Steppers,StepperOnline,2 small steppers for small robots and 1 big motor for z travel,"https://www.omc-stepperonline.com/e-series-nema-17-stepper-motor-1-8deg-60ncm-84-97oz-in-2-1a-42x42x60mm-4-wires-17he24-2104s
https://www.omc-stepperonline.com/nema-17-bipolar-1-8deg-16ncm-22-6oz-in-1a-3-7v-42x42x20mm-4-wires-17hs08-1004s",2025-01-26_StepperOnline_Invoice-218505,41.52,x,Electronics
,Marcel,"Vacuum pump, hose, and ToF sensors",Mouser,,,2025-02-05 Mouser Order_34826221,60.04,x,Electronics
,Marcel,"2x ODrive S1, 2x ODrive Motor, accessories",ODrive,,,2025-02-06-ODrive-Invoice INV-1170,539.85,x,Drive System
,Thomas,domain d-dos.team,,"valid 1 year, 85% OFF",,,4.76,,Other
,Thomas,"mailing server (Jan, Feb)",Hetzner,,,,,,Other
,Sebastian,plastic for prototyping banner,Bauhaus,,,,,,
2025-02-11,Marcel,O-Rings,Aldi Sud,O-Rings for SIMA wheels,,2025-02-11 Aldi Sud SIMA O-Rings,4.99,x,
2025-02-15,Marcel,Wood for table,Bauhaus,"The organizer bin (26,50) was a personal item that was scanned before I could ask for a separate receipt.",,2025-02-15 Bauhaus Wood for table,164.46,x,Table
2025-02-22,Fede,Casters,Omnitrack,Casters for corners of rolling base,https://www.omnitrack.com/ball-transfer-units/medium-duty/mi-series-internal-thread-fixing/,2025-02-22 Your Omnitrack Limited order has been received!,69.96,x,Drive System
2025-03-05,Marcel,"LiPo charger, bullet connectors, estops",Amazon,,"https://www.amazon.de/-/en/dp/B0B8Z371HG?ref_=ppx_hzod_title_dt_b_fed_asin_title_0_0
https://www.amazon.de/-/en/dp/B088ZNVBXF?ref_=ppx_hzod_title_dt_b_fed_asin_title_0_2
https://www.amazon.de/-/en/dp/B0BJV7H62K?ref_=ppx_hzod_title_dt_b_fed_asin_title_0_1",2025-03-05 Amazon invoice,70.50,x,Electronics
2025-03-05,Marcel,LiPo battery,Hobbyking,,https://hobbyking.com/de_de/turnigy-2200mah-6s-60c-lipo-pack-w-xt60-connector.html,2025-03-05 Hobbyking invoice 103006045,32.13,x,Electronics
2025-03-12,Marcel,"Battery bags, thick wires, LiPo checker",Hobbyking,Safety stuff,"https://hobbyking.com/en_us/fire-retardant-lipo-battery-bag-171x60x65mm.html
https://hobbyking.com/en_us/hobbykingtm-lipoly-low-voltage-alarm-2s-6s.html
https://hobbyking.com/en_us/turnigy-pure-silicone-wire-12awg-1m-translucent-red.html
https://hobbyking.com/en_us/turnigy-high-quality-12awg-silicone-wire-1m-black.html",2025-03-12 Hobbyking Invoice 103007700.pdf,24.84,x,Electronics
2025-03-11,Marcel,"XT60 connectors, stepper drivers",Amazon,,"https://www.amazon.de/dp/B07WC71M4R?ref_=pe_27091401_487187591_302_E_DDE_dt_1&th=1
https://www.amazon.de/dp/B085HF31K7?ref_=pe_27091401_487187591_302_E_DDE_dt_1",2025-03-11 Amazon Invoice,39.98,x,Electronics
2025-03-10,Marcel,SIMA Batteries and Charger,Conrad,SIMAs,"https://www.conrad.de/de/p/vhbw-usb-akkuladegeraet-kompatibel-mit-canon-zr-serie-zr-80-zr-85-zr-90-digitalkamera-camcorder-action-cam-akku-812283379.html?searchType=SearchRedirect
https://www.conrad.de/de/p/extensilo-2x-akku-kompatibel-mit-canon-zr-85-zr-90-kamera-1900mah-7-4v-li-ion-844106887.html?searchType=SearchRedirect",2025-03-10 Conrad CM2370-00037887,66.57,x,Electronics
2025-02-18,Marcel,"Bearings, bolts",Misumi,Drive system,"https://de.misumi-ec.com/vona2/detail/110300239250/?HissuCode=SCB4-6
https://de.misumi-ec.com/vona2/detail/110200132750/?HissuCode=FB4-25
https://de.misumi-ec.com/vona2/detail/110200132750/?HissuCode=FB4-30
https://de.misumi-ec.com/vona2/detail/110302273720/?HissuCode=SFL688ZZ
https://de.misumi-ec.com/vona2/detail/110100141750/?HissuCode=CB8-22",2025-02-18 Misumi Invoice-LN53062683G2,40.44,x,Drive System
2025-03-10,Marcel,"Bearings, bolts",Misumi,Drive system,"https://de.misumi-ec.com/vona2/detail/221005020642/?HissuCode=CSHELH-ST-M2-8
https://de.misumi-ec.com/vona2/detail/110302273540/?HissuCode=B628
https://de.misumi-ec.com/vona2/detail/221005020642/?HissuCode=CSHELH-ST-M2-8",2025-03-10 MISUMI_INVOICE_LN5311377000G2,21.49,x,Drive System
2025-03-19,Marcel,New wheels,Robotshop,New wheels,"https://eu.robotshop.com//products/60mm-aluminium-wheel-5mm-bore
https://eu.robotshop.com//products/60mm-aluminium-wheel-6mm-bore",2025-03-19 Robotshop invoice 11251304.pdf,20.94,x,Drive System
2025-03-22,Marcel,Wood for platforms and stage,Obi,,,2025-03-22 Obi Wood for platforms and stage,20.00,x,Table
2025-03-13,Marcel,Suction cups,Aliexpress,,"https://www.aliexpress.com/item/32947917448.html?spm=a2g0o.order_list.order_list_main.10.1ee5180242aP3i
https://www.aliexpress.com/item/1005004448595839.html?spm=a2g0o.order_list.order_list_main.4.1ee5180242aP3i",,36.60,x,Mechanisms
2025-04-02,Marcel,Raspberry Pi Camera V3 Wide,BerryBase,,,2025-04-02 BerryBase RE-18071603,79.80,x,Vision
2025-04-06,Marcel,LCD with I2C adapter,Amazon,,https://www.amazon.de/dp/B0D2L2JR1L?ref_=pe_111929571_1111661321_t_fed_asin_title,,7.99,x,Electronics
2025-04-11,Marcel,Missing steppers for SIMAs and lifer,StepperOnline,,"https://www.omc-stepperonline.com/e-series-nema-17-stepper-motor-1-8deg-60ncm-84-97oz-in-2-1a-42x42x60mm-4-wires-17he24-2104s
https://www.omc-stepperonline.com/nema-17-bipolar-1-8deg-16ncm-22-6oz-in-1a-3-7v-42x42x20mm-4-wires-17hs08-1004s",2025-04-11 StepperOnline Invoice-232201,80.04,x,Electronics
2025-04-10,Marcel,Missing stepper drivers,Amazon,,https://www.amazon.de/dp/B07WC71M4R?ref_=pe_111929571_1111661321_t_fed_asin_title,2025-04-10 Amazon Invoice DS-AEU-INV-DE-2025-170688791,59.98,x,Electronics
2025-04-14,Marcel,Ball bearings for SIMA casters,Amazon,,https://www.amazon.de/-/en/dp/B0CYCBYZ24?ref_=ppx_hzod_title_dt_b_fed_asin_title_0_0,2025-04-10 Amazon Invoice 2025548881,6.27,x,Drive System
2025-04-10,Marcel,Components for Gripper Actuator Board,Mouser,,,,126.40,x,Electronics
2025-04-15,Fede,"Solder paste, SIMA batteries, screw terminals, jumper wires, SIMA servos",Amazon,,"https://www.amazon.de/-/en/dp/B07KPS9845?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
https://www.amazon.de/-/en/dp/B09PYR19G7?ref=ppx_yo2ov_dt_b_fed_asin_title
https://www.amazon.de/-/en/dp/B0195V1QEI?ref=ppx_yo2ov_dt_b_fed_asin_title
https://www.amazon.de/-/en/dp/B01EV70C78?ref=ppx_yo2ov_dt_b_fed_asin_title
https://www.amazon.de/-/en/dp/B087RL3JC6?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1",,77.52,,Electronics
2025-04-19,Fede,More LiPos,HobbyKing,,https://hobbyking.com/de_de/turnigy-2200mah-6s-40c-lipo-pack-w-xt60-connector.html,2025-04-19 HobbyKing 103018004,61.00,x,Electronics
2025-04-19,Fede,"Lidar, Switches",Amazon,,"https://www.amazon.de/-/en/dp/B09TVDZ8P2?ref_=ppx_hzod_title_dt_b_fed_asin_title_0_1
https://www.amazon.de/-/en/dp/B0CNXLJJ61?ref_=ppx_hzod_title_dt_b_fed_asin_title_1_0",,86.79,x,Electronics
2025-04-24,Fede,"Servos, pulleys",Amazon,,https://www.amazon.de/dp/B07ZFXZPC9?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,,38.98,x,Electronics
